parent_cell,parent_x,parent_y,parent_z,daughter1,daughter2,birth_time,cell_size,size_category,time_category,generation
ABprappa,458.9955095,276.383766675,14.98970269875,ABprappap,ABprappaa,170.0,535.9939882215307,large,mid,7
ABprpppa,491.7578566875,267.8921514875,14.8652492475,ABprpppaa,ABprpppap,170.0,560.1901195823394,large,mid,7
ABprpppp,491.89358325,257.4102640875,14.996723575,ABprppppa,ABprppppp,170.0,555.3775679824547,large,mid,7
Cpap,484.77274675,256.1838534375,15.72318073125,Cpapp,Cpapa,175.0,548.5271198089787,large,mid,6
ABalaaaa,0.0,0.0,0.0,ABalaaaar,ABalaaaal,175.0,0.0,small,mid,7
ABalaapa,232.007842771429,260.4625051,14.7866231557143,ABalaapaa,ABalaapap,175.0,349.12318727745475,medium,mid,7
ABalpaaa,198.2988862,248.684100525,14.8887276625,ABalpaaaa,ABalpaaap,175.0,318.41467355242435,small,mid,7
ABaraaap,254.685285,266.7712897875,14.77358912375,ABaraaapa,ABaraaapp,175.0,369.1202708955645,medium,mid,7
ABaraapa,251.4049227125,256.475587525,14.75823704,ABaraapaa,ABaraapap,175.0,359.44675227479917,medium,mid,7
ABaraapp,295.833210325,254.3032854625,14.68310168625,ABaraappp,ABaraappa,175.0,390.3883230878534,medium,mid,7
ABarapap,314.566079875,267.9069376125,14.6334090375,ABarapapp,ABarapapa,175.0,413.44900832979584,medium,mid,7
ABarappa,332.59227335,270.0779785375,14.61040354375,ABarappaa,ABarappap,175.0,428.6877636167548,medium,mid,7
ABarappp,363.0155834125,267.7331359,14.51092847625,ABarapppa,ABarapppp,175.0,451.3002469580628,medium,mid,7
ABarpapa,291.4194319625,272.222811175,15.02101254875,ABarpapap,ABarpapaa,175.0,399.06913569876036,medium,mid,7
ABarpapp,335.070554125,271.6721456875,15.05003199,ABarpappa,ABarpappp,175.0,431.6300898303833,medium,mid,7
ABplapaa,297.207555225,258.170270525,15.61370347625,ABplapaaa,ABplapaap,175.0,393.98985672478597,medium,mid,7
ABplappp,389.4516323625,240.523742775,15.70356444125,ABplapppp,ABplapppa,175.0,458.0074745290416,medium,mid,7
ABplpaap,303.7640945625,230.0749154875,15.90275493125,ABplpaapa,ABplpaapp,175.0,381.3921728304857,medium,mid,7
ABplppaa,334.9985999,231.2939905125,15.7776406875,ABplppaap,ABplppaaa,175.0,407.39404257772424,medium,mid,7
ABplppap,371.9210455375,232.662761525,15.6490257775,ABplppapa,ABplppapp,175.0,438.97849232272307,medium,mid,7
ABprapaa,393.5024833625,281.788400625,15.36924603625,ABprapaap,ABprapaaa,175.0,484.2366372580382,medium,mid,7
ABprappp,487.750385225,268.17881065,15.20960044375,ABprapppp,ABprapppa,175.0,556.8228126742322,large,mid,7
ABprpaap,409.0264757,277.714266675,14.710109855,ABprpaapa,ABprpaapp,175.0,494.6152636851615,medium,mid,7
ABprppaa,438.6560775375,276.9960083875,14.81984252375,ABprppaaa,ABprppaap,175.0,519.0044034067745,large,mid,7
ABprppap,467.4324716125,271.350144075,14.83007246375,ABprppapp,ABprppapa,175.0,540.6884012595184,large,mid,7
Caap,444.1258349375,250.9021263875,15.68253361,Caapp,Caapa,180.0,510.33868768214046,medium,mid,6
ABaraaaa,220.0746358875,260.6076648375,14.7112121325,ABaraaaap,ABaraaaaa,180.0,341.41707645558364,medium,mid,7
ABarapaa,275.5930916625,269.8340464375,14.6432871325,ABarapaaa,ABarapaap,180.0,385.9745984478446,medium,mid,7
ABarpaaa,251.4283959375,273.9600642,15.1696798075,ABarpaaap,ABarpaaaa,180.0,372.15651847795766,medium,mid,7
ABarppap,361.2234757875,264.9716453,15.35982690375,ABarppapp,ABarppapa,180.0,448.25026107689524,medium,mid,7
ABarpppp,415.4451006375,269.242258525,15.2429511575,ABarppppp,ABarppppa,180.0,495.2962476935752,medium,mid,7
ABplpaaa,268.0258883,229.60323555,15.85382651125,ABplpaaap,ABplpaaaa,180.0,353.280152837775,medium,mid,7
ABprpaaa,371.8862710625,277.57265765,14.67763995625,ABprpaaap,ABprpaaaa,180.0,464.28591621364154,medium,mid,7
MSaaaa,239.7663674375,248.033084975,14.8980927125,MSaaaap,MSaaaaa,180.0,345.29737236599425,medium,mid,7
MSaapa,309.80649305,239.43084695,14.530900825,MSaapaa,MSaapap,180.0,391.8141660097552,medium,mid,7
Capa,439.2218713375,244.3084386625,15.53393672125,Capaa,Capap,185.0,502.83572730364307,medium,mid,6
Capp,470.379308475,245.6898355125,15.75751713625,Cappa,Cappp,185.0,530.912882177366,large,mid,6
Cppa,510.478642175,256.389901025,15.18598599625,Cppap,Cppaa,185.0,571.449770001808,large,mid,6
Cppp,496.3944012625,246.071324625,15.51964028625,Cpppa,Cpppp,185.0,554.2556789443593,large,mid,6
MSpaaa,291.1192282,257.1864421,14.5887024225,MSpaaaa,MSpaaap,185.0,388.72625492265456,medium,mid,7
MSpapa,355.3575333875,247.549694675,14.43180635125,MSpapap,MSpapaa,185.0,433.3221721808081,medium,mid,7
ABarppaa,322.8081368875,271.82596475,15.51651125875,ABarppaap,ABarppaaa,187.0,422.2975378506132,medium,mid,7
ABarpppa,371.6029381125,273.3332337375,15.2501481325,ABarpppaa,ABarpppap,187.0,461.5542950697182,medium,mid,7
MSaaap,285.858586585714,246.760897885714,14.5588204257143,MSaaapa,MSaaapp,188.0,377.91273000831046,medium,mid,7
MSapaa,291.7738483875,238.4952619375,15.03987952125,MSapaaa,MSapaap,188.0,377.14475542621864,medium,mid,7
MSapap,320.9070892,236.1746555625,14.90680543375,MSapapa,MSapapp,188.0,398.72552047382413,medium,mid,7
MSpaap,331.8053217375,252.7093203375,14.44994525625,MSpaapp,MSpaapa,190.0,417.331490588328,medium,mid,7
MSppaa,334.8434978875,262.8764708125,14.57655840625,MSppaaa,MSppaap,190.0,425.9538508328598,medium,mid,7
MSppap,374.31457385,262.0592886,14.5186719575,MSppapa,MSppapp,190.0,457.1621843213355,medium,mid,7
MSaapp,358.463894175,238.25528825,14.52473266,MSaappa,MSaappp,194.0,430.6656634386362,medium,mid,7
MSappa,352.2790228375,237.5039149875,14.74392639,MSappaa,MSappap,194.0,425.11881037085055,medium,mid,7
MSappp,381.87826005,235.5156911,14.9597869225,MSapppa,MSapppp,194.0,448.91250982557017,medium,mid,7
MSpapp,402.3732035375,245.106216125,14.5338365625,MSpappp,MSpappa,195.0,471.3729781323608,medium,mid,7
MSpppa,387.8519284625,256.4474587125,14.4828257125,MSpppap,MSpppaa,195.0,465.1926157333092,medium,mid,7
MSpppp,414.625820325,256.9632383375,14.6537292825,MSppppa,MSppppp,195.0,488.0157871616028,medium,mid,7
Dap,450.4642904375,240.7831752,14.862392695,Dapa,Dapp,200.0,510.9946233918461,medium,mid,6
Dpp,465.4561721875,253.4554038875,14.77279259125,Dppp,Dppa,200.0,530.1955539121009,large,mid,6
Daa,420.9223138625,241.041065675,14.81265181875,Daap,Daaa,210.0,485.27909938818107,medium,mid,6
Dpa,439.9610892875,254.792030025,14.74423211375,Dpap,Dpaa,210.0,508.62769392938895,medium,mid,6
ABalapapp,266.4525521375,250.3583389875,15.4495095875,ABalapappp,ABalapappa,210.0,365.9439134453002,medium,mid,8
ABarapapp,327.1134725125,258.7916715375,14.489224635,ABarapappp,ABarapappa,210.0,417.35631154552203,medium,mid,8
ABplpappa,350.40599955,234.271313675,14.55475116875,ABplpappap,ABplpappaa,210.0,421.75733984511646,medium,mid,8
ABalapppa,256.170171175,265.6557748125,15.48369956875,ABalapppaa,ABalapppap,213.0,369.37229490501016,medium,mid,8
ABalapaaa,202.573301325,250.3098058625,15.482230275,ABalapaaaa,ABalapaaap,215.0,322.3827550830221,medium,mid,8
ABalapaap,218.4482886875,245.3479069,15.501682965,ABalapaapp,ABalapaapa,215.0,328.8701148256797,medium,mid,8
ABalapapa,231.3168415,252.6477704625,15.68705704375,ABalapapaa,ABalapapap,215.0,342.9059066856418,medium,mid,8
ABalappap,228.366163975,263.5831401125,15.46353012375,ABalappapp,ABalappapa,215.0,349.09353669770303,medium,mid,8
ABalpappp,294.00697025,241.9152080625,14.44660856875,ABalpapppa,ABalpapppp,215.0,381.01413483838854,medium,mid,8
ABarapapa,297.7603646875,260.872126725,14.63695653875,ABarapapap,ABarapapaa,215.0,396.1435873235545,medium,mid,8
ABarpaapp,331.4146965125,264.7105232625,15.36004579,hyp7,hyp7,215.0,424.4329077687661,medium,mid,8
ABplaappp,353.6677632,233.151166675,15.45707217625,hyp7,hyp7,215.0,423.8859213621829,medium,mid,8
ABplapapa,400.077207325,240.8765580375,15.520181445,ABplapapaa,P9,215.0,467.251713817135,medium,mid,8
ABplapapp,439.083849725,240.025762,15.427726685,ABplapappp,P11,215.0,500.64459276384287,medium,mid,8
ABplappaa,389.88072395,233.8117564375,15.41664065375,P5,P3,215.0,454.87645483714783,medium,mid,8
ABplappap,424.664401075,233.513522125,15.43738584625,V3L,P7,215.0,484.8780583171168,medium,mid,8
ABplpaapp,328.4129066125,227.9356930625,15.3145522025,ABplpaappa,ABplpaappp,215.0,400.05531231407986,medium,mid,8
ABalpappa,261.748501825,241.182356825,14.620240435,ABalpappap,ABalpappaa,217.0,356.2231868950572,medium,mid,8
ABplpapaa,307.6262128625,230.9150447875,14.85848481875,ABplpapaap,ABplpapaaa,217.0,384.9369030379476,medium,mid,8
ABarapppp,330.934013575,271.6127943375,14.639024085,ABarappppp,ABarappppa,218.0,428.37499041709304,medium,mid,8
