source_id,target_id,source_name,target_name,type,timepoints_present,first_appearance,last_appearance,timepoint_list
106,223,CEPVR,URYVR,chemical,5,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7), np.int64(8)]"
112,40,DVA,AUAL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
112,42,DVA,AVAL,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
112,45,DVA,AVBR,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
113,47,DVC,AVDR,chemical,2,1,5,"[np.int64(1), np.int64(5)]"
113,109,DVC,CEPshVL,chemical,3,1,6,"[np.int64(1), np.int64(5), np.int64(6)]"
114,2,FLPL,ADEL,chemical,5,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7)]"
114,3,FLPL,ADER,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(8)]"
114,47,FLPL,AVDR,chemical,2,1,6,"[np.int64(1), np.int64(6)]"
124,125,IL1DL,IL1DR,electrical,4,1,6,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6)]"
124,126,IL1DL,IL1L,electrical,5,1,7,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
125,127,IL1DR,IL1R,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
126,128,IL1L,IL1VL,electrical,6,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
126,182,IL1L,RMER,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(8)]"
127,129,IL1R,IL1VR,electrical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
127,178,IL1R,RMDVL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
127,181,IL1R,RMEL,chemical,3,1,8,"[np.int64(1), np.int64(3), np.int64(8)]"
128,129,IL1VL,IL1VR,electrical,4,1,7,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7)]"
130,116,IL2DL,GLRDL,chemical,2,1,7,"[np.int64(1), np.int64(7)]"
130,183,IL2DL,RMEV,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8)]"
131,165,IL2DR,RIH,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
131,180,IL2DR,RMED,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(8)]"
137,141,OLLR,OLQVR,electrical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
138,156,OLQDL,RIBL,electrical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
138,158,OLQDL,RICL,chemical,4,1,8,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8)]"
139,159,OLQDR,RICR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8)]"
140,159,OLQVL,RICR,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
141,165,OLQVR,RIH,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
144,171,PVCL,RIS,chemical,3,1,8,"[np.int64(1), np.int64(4), np.int64(8)]"
144,198,PVCL,SIAVL,chemical,4,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6)]"
144,199,PVCL,SIAVR,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
144,202,PVCL,SIBVL,chemical,4,1,8,"[np.int64(1), np.int64(4), np.int64(7), np.int64(8)]"
145,45,PVCR,AVBR,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
145,47,PVCR,AVDR,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
145,160,PVCR,RID,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
148,45,PVPL,AVBR,chemical,5,1,8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
148,53,PVPL,AVHR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(7), np.int64(8)]"
148,149,PVPL,PVPR,electrical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
148,160,PVPL,RID,chemical,3,1,6,"[np.int64(1), np.int64(2), np.int64(6)]"
149,1,PVPR,ADAR,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
149,54,PVPR,AVJL,chemical,3,1,8,"[np.int64(1), np.int64(5), np.int64(8)]"
149,164,PVPR,RIGR,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7)]"
149,170,PVPR,RIR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(7), np.int64(8)]"
149,219,PVPR,URXR,chemical,4,1,5,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5)]"
151,110,PVQR,CEPshVR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(7), np.int64(8)]"
152,106,PVR,CEPVR,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
152,129,PVR,IL1VR,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
152,168,PVR,RIPL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
152,223,PVR,URYVR,chemical,3,1,5,"[np.int64(1), np.int64(4), np.int64(5)]"
154,105,RIAL,CEPVL,chemical,4,1,8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(8)]"
155,105,RIAR,CEPVL,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(8)]"
155,120,RIAR,GLRVL,chemical,3,1,5,"[np.int64(1), np.int64(2), np.int64(5)]"
156,47,RIBL,AVDR,chemical,5,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(7)]"
156,156,RIBL,RIBL,electrical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7)]"
156,198,RIBL,SIAVL,electrical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
158,1,RICL,ADAR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
158,208,RICL,SMDDL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(7), np.int64(8)]"
159,0,RICR,ADAL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
159,106,RICR,CEPVR,chemical,3,1,8,"[np.int64(1), np.int64(7), np.int64(8)]"
161,48,RIFL,AVEL,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
161,162,RIFL,RIFR,electrical,3,1,5,"[np.int64(1), np.int64(2), np.int64(5)]"
162,24,RIFR,ALMR,chemical,3,1,7,"[np.int64(1), np.int64(5), np.int64(7)]"
162,33,RIFR,ASHR,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(7)]"
163,154,RIGL,RIAL,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(7), np.int64(8)]"
163,220,RIGL,URYDL,electrical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
164,12,RIGR,AIBL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
164,48,RIGR,AVEL,chemical,4,1,8,"[np.int64(1), np.int64(4), np.int64(7), np.int64(8)]"
164,57,RIGR,AVKR,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(8)]"
164,153,RIGR,PVT,chemical,3,1,6,"[np.int64(1), np.int64(2), np.int64(6)]"
165,109,RIH,CEPshVL,chemical,4,1,8,"[np.int64(1), np.int64(2), np.int64(7), np.int64(8)]"
