timepoint,node,betweenness,degree_centrality,closeness,weighted_in_degree,weighted_out_degree,total_weighted_degree,node_type
5,RMER,0.004412446067288028,0.09047619047619049,0.4117647058823529,24,29,53,motor
5,RMEV,0.007991215222514123,0.1142857142857143,0.4439746300211416,22,29,51,motor
5,RMFL,0.0,0.004761904761904762,0.3153153153153153,1,0,1,motor
5,RMFR,0.0,0.0,0.0,0,0,0,motor
5,RMGL,0.01646411237559095,0.14761904761904762,0.4656319290465632,15,29,44,modulatory
5,RMGR,0.03373604813565073,0.14285714285714288,0.46770601336302897,17,31,48,modulatory
5,RMHL,0.005726200530887923,0.10476190476190478,0.4430379746835443,23,20,43,motor
5,RMHR,0.006439339851964345,0.08571428571428572,0.43209876543209874,17,13,30,motor
5,SAADL,0.010356825296698584,0.0761904761904762,0.4449152542372881,25,20,45,sensory
5,SAADR,0.006071892427874151,0.06190476190476191,0.43121149897330596,20,13,33,sensory
5,SAAVL,0.004870611603422497,0.06190476190476191,0.4117647058823529,13,33,46,sensory
5,SAAVR,0.0043917098558313335,0.06190476190476191,0.4225352112676056,19,32,51,sensory
5,SDQL,0.00027078673068295307,0.028571428571428574,0.35714285714285715,8,2,10,sensory
5,SDQR,0.0005499759808644013,0.04285714285714286,0.3888888888888889,4,7,11,sensory
5,SIADL,2.3600688954785658e-05,0.01904761904761905,0.3756708407871199,7,1,8,motor
5,SIADR,0.0,0.03333333333333334,0.3954802259887006,14,0,14,motor
5,SIAVL,0.0,0.03333333333333334,0.40076335877862596,15,0,15,motor
5,SIAVR,0.0,0.01904761904761905,0.3776978417266187,9,0,9,motor
5,SIBDL,0.0003426838813433642,0.0380952380952381,0.4117647058823529,12,1,13,motor
5,SIBDR,6.455532771322244e-05,0.02380952380952381,0.379746835443038,11,1,12,motor
5,SIBVL,0.0,0.04761904761904762,0.41749502982107356,11,0,11,motor
5,SIBVR,0.0,0.04761904761904762,0.4158415841584158,10,0,10,motor
5,SMBDL,0.015959470263418783,0.1,0.45951859956236324,13,20,33,motor
5,SMBDR,0.015530341138899341,0.1142857142857143,0.46875,23,28,51,motor
5,SMBVL,0.017817555410562565,0.1,0.45951859956236324,18,30,48,motor
5,SMBVR,0.004162553183669194,0.0761904761904762,0.4085603112840467,24,23,47,motor
5,SMDDL,0.015726395388750057,0.14285714285714288,0.47404063205417607,62,19,81,motor
5,SMDDR,0.022064044176726826,0.15714285714285717,0.4783599088838269,57,28,85,motor
5,SMDVL,0.01113364224270739,0.1142857142857143,0.44776119402985076,53,20,73,motor
5,SMDVR,0.006146426088996678,0.10476190476190478,0.45454545454545453,53,13,66,motor
5,URADL,0.0016642328498465374,0.06190476190476191,0.3825136612021858,7,18,25,motor
5,URADR,0.00040826708436654703,0.04761904761904762,0.3684210526315789,7,22,29,motor
5,URAVL,0.0012967285560109992,0.07142857142857144,0.3867403314917127,11,19,30,motor
